"","X","LOCATION","SHELTER_ID","the_geom","AT_BETWEEN","LONGITUDE","LATITUDE","zipcode"
"190",1680,"BROADWAY","MN01186","POINT (-73.933088 40.855587)","W 189 ST",-73.933088,40.855587,10040
"191",1681,"FT WASHINGTON AV","MN01187","POINT (-73.937648 40.852363)","W 183 ST",-73.937648,40.852363,10033
"192",1682,"BROADWAY","MN01188","POINT (-73.977196 40.787216)","W 84 ST",-73.977196,40.787216,10024
"193",1683,"W 65 ST","MN01191","POINT (-73.981521 40.772698)","BROADWAY",-73.981521,40.772698,10023
"194",1684,"AV C","MN01192","POINT (-73.980825 40.721506)","E 3 ST",-73.980825,40.721506,10009
"195",1685,"3 AV","MN01198","POINT (-73.960182 40.770093)","E 72 ST",-73.960182,40.770093,10021
"196",1686,"10 AV","MN01200","POINT (-73.98858 40.76888700000001)","W 57 ST",-73.98858,40.768887,10019
"197",1687,"COLUMBIA ST","MN01201","POINT (-73.979761 40.717729)","RIVINGTON ST",-73.979761,40.717729,10002
"198",1688,"AV A","MN01202","POINT (-73.985531 40.723484000000006)","E 3 ST",-73.985531,40.723484,10009
"199",1689,"ESSEX ST","MN01203","POINT (-73.988895 40.716964)","GRAND ST",-73.988895,40.716964,10002
"200",1690,"MADISON ST","MN01204","POINT (-73.985512 40.713104)","MONTGOMERY ST",-73.985512,40.713104,10002
"201",1691,"W 57 ST","MN01205","POINT (-73.985329 40.767647)","9 AV",-73.985329,40.767647,10019
"202",1692,"W 66 ST","MN01206","POINT (-73.986528 40.775826)","WEST END AV",-73.986528,40.775826,10023
"203",1693,"E 116 ST","MN01209","POINT (-73.939763 40.797731)","3 AV",-73.939763,40.797731,10029
"204",1694,"E 116 ST","MN01210","POINT (-73.935053 40.795969)","1 AV",-73.935053,40.795969,10035
"205",1695,"MADISON AV","MN01211","POINT (-73.948728 40.794504)","E 107 ST",-73.948728,40.794504,10029
"206",1696,"YORK AV","MN01212","POINT (-73.956358 40.763493)","E 67 ST",-73.956358,40.763493,10065
"207",1697,"6 AV","MN01213","POINT (-74.005098 40.72106)","W BROADWAY",-74.005098,40.72106,10013
"208",1698,"3 AV","MN01214","POINT (-73.98274 40.739158)","E 24 ST",-73.98274,40.739158,10010
"209",1699,"ST NICHOLAS AV","MN01217","POINT (-73.946484 40.820098)","W 139 ST",-73.946484,40.820098,10030
"210",1700,"FREDERICK DOUGLASS BLVD","MN01218","POINT (-73.957483 40.801362)","W 111 ST",-73.957483,40.801362,10026
"211",1701,"FREDERICK DOUGLASS BLVD","MN01219","POINT (-73.95003 40.811943)","W 128 ST",-73.95003,40.811943,10027
"212",1702,"FREDERICK DOUGLASS BLVD","MN01220","POINT (-73.949316 40.812926)","W 129 ST",-73.949316,40.812926,10027
"213",1703,"BROADWAY","MN01221","POINT (-73.939367 40.842671)","W 170 ST",-73.939367,40.842671,10032
"214",1704,"W 110 ST","MN01222","POINT (-73.960726 40.801469000000004)","COLUMBUS AV",-73.960726,40.801469,10025
"215",1705,"BROADWAY","MN01226","POINT (-73.961497 40.811627)","W 122 ST",-73.961497,40.811627,10027
"216",1706,"AMSTERDAM AV","MN01227","POINT (-73.948266 40.824133)","W 143 ST",-73.948266,40.824133,10031
"217",1707,"MADISON AV","MN01230","POINT (-73.98457 40.7454)","E 30 ST",-73.98457,40.7454,10016
"218",1708,"MADISON AV","MN01231","POINT (-73.983661 40.746649)","E 32 ST & E 33 ST",-73.983661,40.746649,10016
"219",1709,"RIVERSIDE DR WEST","MN01232","POINT (-73.948494 40.835995)","W 158 ST & W 160 ST",-73.948494,40.835995,10032
"220",1710,"8 AV","MN01234","POINT (-73.982494 40.767031)","W 57 ST",-73.982494,40.767031,10019
"221",1711,"MADISON AV","MN01236","POINT (-73.942238 40.803446)","E 121 ST",-73.942238,40.803446,10035
"222",1712,"W 57 ST","MN01237","POINT (-73.981472 40.766022)","BROADWAY",-73.981472,40.766022,10019
"223",1713,"BROADWAY","MN01238","POINT (-73.943611 40.83547600000001)","W 159 ST",-73.943611,40.835476,10032
"224",1714,"AMSTERDAM AV","MN01239","POINT (-73.941866 40.833301)","W 158 ST",-73.941866,40.833301,10032
"225",1715,"W 57 ST","MN01242","POINT (-73.976838 40.764058)","6 AV",-73.976838,40.764058,10019
"226",1716,"W 57 ST","MN01244","POINT (-73.982276 40.766575)","BROADWAY",-73.982276,40.766575,10019
"227",1717,"EDGECOMBE AV","MN01246","POINT (-73.937214 40.836276)","W 164 ST",-73.937214,40.836276,10032
"228",1718,"W 106 ST","MN01247","POINT (-73.962648 40.799034)","COLUMBUS AV",-73.962648,40.799034,10025
"229",1719,"E 23 ST","MN01249","POINT (-73.98055 40.737619)","2 AV",-73.98055,40.737619,10010
"230",1720,"AMSTERDAM AV","MN01250","POINT (-73.96813 40.796912)","W 100 ST",-73.96813,40.796912,10025
"231",1721,"W 14 ST","MN01251","POINT (-73.999353 40.738307)","7 AV",-73.999353,40.738307,10011
"232",1722,"BROADWAY","MN01253","POINT (-73.978888 40.785642)","W 82 ST",-73.978888,40.785642,10024
"233",1723,"E 106 ST","MN01254","POINT (-73.942721 40.79085200000001)","2 AV",-73.942721,40.790852,10029
"234",1724,"W 110 ST","MN01255","POINT (-73.9594 40.8009)","MANHATTAN AV",-73.9594,40.8009,10026
"235",1725,"FREDERICK DOUGLASS BLVD","MN01257","POINT (-73.942595 40.82172)","W 143 ST",-73.942595,40.82172,10030
"236",1726,"FREDERICK DOUGLASS BLVD","MN01258","POINT (-73.949873 40.811747)","W 127 ST",-73.949873,40.811747,10027
"237",1727,"FREDERICK DOUGLASS BLVD","MN01259","POINT (-73.943463 40.820522)","W 141 ST",-73.943463,40.820522,10030
"238",1728,"2 AV","MN0126","POINT (-73.972567 40.749556)","E 42 ST",-73.972567,40.749556,10017
"239",1729,"ADAM CLAYTON POWELL BLVD","MN01260","POINT (-73.937994 40.823443)","W 148 ST",-73.937994,40.823443,10039
"240",1730,"ADAM CLAYTON POWELL BLVD","MN01261","POINT (-73.937803 40.823067)","W 147 ST",-73.937803,40.823067,10039
"241",1731,"ADAM CLAYTON POWELL BLVD","MN01262","POINT (-73.947291 40.810744)","W 128 ST",-73.947291,40.810744,10027
"242",1732,"AMSTERDAM AV","MN01264","POINT (-73.983692 40.775589)","W 67 ST",-73.983692,40.775589,10023
"243",1733,"WORTH ST","MN01265","POINT (-74.005671 40.71673)","CHURCH ST",-74.005671,40.71673,10013
"244",1734,"5 AV","MN01267","POINT (-73.945807 40.801787)","W 118 ST",-73.945807,40.801787,10035
"245",1735,"FREDERICK DOUGLASS BLVD","MN01268","POINT (-73.949044 40.812874)","W 129 ST",-73.949044,40.812874,10027
"246",1736,"ADAM CLAYTON POWELL BLVD","MN01269","POINT (-73.936951 40.824246)","W 149 ST",-73.936951,40.824246,10039
"247",1737,"E 42 ST","MN0127","POINT (-73.97249600000002 40.750054)","2 AV",-73.972496,40.750054,10017
"248",1738,"BROADWAY","MN01270","POINT (-73.982018 40.77415)","W 66 ST",-73.982018,40.77415,10023
"249",1739,"3 AV","MN01271","POINT (-73.953468 40.779304)","E 87 ST",-73.953468,40.779304,10028
"250",1740,"AMSTERDAM AV","MN01273","POINT (-73.944407 40.829829)","W 152 ST",-73.944407,40.829829,10031
"251",1741,"ST NICHOLAS AV","MN01274","POINT (-73.946314 40.821075)","W 141 ST",-73.946314,40.821075,10030
"252",1742,"9 AV","MN01275","POINT (-73.985047 40.769046)","W 59 ST",-73.985047,40.769046,10019
"253",1743,"TRINITY PL","MN01276","POINT (-74.01258 40.708184)","RECTOR ST",-74.01258,40.708184,10006
"254",1744,"E 23 ST","MN01281","POINT (-73.981214 40.737902)","2 AV",-73.981214,40.737902,10010
"255",1745,"MADISON ST","MN01282","POINT (-73.991971 40.712399)","PIKE ST",-73.991971,40.712399,10002
"256",1746,"MADISON ST","MN01283","POINT (-73.992098 40.712556)","PIKE ST",-73.992098,40.712556,10002
"257",1747,"E 86 ST","MN01284","POINT (-73.949086 40.776869)","1 AV",-73.949086,40.776869,10028
"258",1748,"7 AV","MN01287","POINT (-73.997256 40.742094)","W 20 ST",-73.997256,40.742094,10011
"259",1749,"2 AV","MN0129","POINT (-73.988898 40.727113)","E 6 ST",-73.988898,40.727113,10003
"260",1750,"E 106 ST","MN01294","POINT (-73.946017 40.792029)","LEXINGTON AV",-73.946017,40.792029,10029
"261",1751,"PEARL ST","MN01295","POINT (-74.003488 40.707852)","BEEKMAN ST",-74.003488,40.707852,10038
"262",1752,"MALCOLM X BLVD","MN01296","POINT (-73.9366 40.820198)","W 145 ST",-73.9366,40.820198,10030
"263",1753,"MANHATTAN AV","MN01297","POINT (-73.956873 40.804821)","W 116 ST",-73.956873,40.804821,10026
"264",1754,"AV C","MN01298","POINT (-73.978674 40.724488)","E 8 ST",-73.978674,40.724488,10009
"265",1755,"GRAND ST","MN01299","POINT (-73.988717 40.716453)","ESSEX ST",-73.988717,40.716453,10002
"266",1756,"MADISON ST","MN01300","POINT (-73.984248 40.713247)","GOUVERNEUR ST",-73.984248,40.713247,10002
"267",1757,"AMSTERDAM AV","MN01301","POINT (-73.940188 40.835169)","W 161 ST",-73.940188,40.835169,10032
"268",1758,"FT WASHINGTON AV","MN01302","POINT (-73.935338 40.85732)","W 190 ST",-73.935338,40.85732,10040
"269",1759,"ADAM CLAYTON POWELL BLVD","MN01303","POINT (-73.941502 40.817998)","W 139 ST",-73.941502,40.817998,10030
"270",1760,"ADAM CLAYTON POWELL BLVD","MN01304","POINT (-73.94081 40.819589)","W 142 ST",-73.94081,40.819589,10030
"271",1761,"E 42 ST","MN01305","POINT (-73.972006 40.749604)","2 AV",-73.972006,40.749604,10017
"272",1762,"LEXINGTON AV","MN01308","POINT (-73.949055 40.788605)","E 100 ST",-73.949055,40.788605,10029
"273",1763,"MALCOLM X BLVD","MN01309","POINT (-73.945168 40.807956)","W 125 ST",-73.945168,40.807956,10027
"274",1764,"BROADWAY","MN01310","POINT (-73.948246 40.829123)","W 149 ST",-73.948246,40.829123,10031
"275",1765,"10 AV","MN01311","POINT (-73.997451 40.756691)","W 37 ST",-73.997451,40.756691,10018
"276",1766,"BROADWAY","MN01313","POINT (-73.917626 40.868991)","W 213 ST",-73.917626,40.868991,10034
"277",1767,"E 105 ST","MN01315","POINT (-73.938613 40.788199)","FDR DR",-73.938613,40.788199,10029
"278",1768,"W 155 ST","MN01316","POINT (-73.945487 40.832514)","BROADWAY",-73.945487,40.832514,10032
"279",1769,"E 125 ST","MN01317","POINT (-73.935507 40.803457)","3 AV",-73.935507,40.803457,10035
"280",1770,"E 135 ST","MN01319","POINT (-73.936374 40.81209)","MADISON AV",-73.936374,40.81209,10037
"281",1771,"E 34 ST","MN0132","POINT (-73.976174 40.745011)","2 AV",-73.976174,40.745011,10016
"282",1772,"BROADWAY","MN01320","POINT (-73.913022 40.8722)","W 220 ST",-73.913022,40.8722,10034
"283",1773,"E 135 ST","MN01321","POINT (-73.936681 40.81247)","MADISON AV",-73.936681,40.81247,10037
"284",1774,"E 96 ST","MN01322","POINT (-73.949067 40.784964)","3 AV",-73.949067,40.784964,10128
"285",1775,"BROADWAY","MN01323","POINT (-73.967087 40.80398)","W 110 ST",-73.967087,40.80398,10025
"286",1776,"MALCOLM X BLVD","MN01325","POINT (-73.939329 40.816469)","W 139 ST",-73.939329,40.816469,10030
"287",1777,"MANHATTAN AV","MN01327","POINT (-73.957774 40.80388)","W 114 ST",-73.957774,40.80388,10026
"288",1778,"MADISON AV","MN01328","POINT (-73.954289 40.786893)","E 95 ST",-73.954289,40.786893,10128
"289",1779,"MALCOLM X BLVD","MN01330","POINT (-73.94419 40.809293)","W 127 ST",-73.94419,40.809293,10027
"290",1780,"MALCOLM X BLVD","MN01331","POINT (-73.940226 40.815233)","W 137 ST",-73.940226,40.815233,10030
"291",1781,"MALCOLM X BLVD","MN01332","POINT (-73.941328 40.813724)","W 135 ST",-73.941328,40.813724,10037
"292",1782,"MANHATTAN AV","MN01333","POINT (-73.956524 40.805295)","W 116 ST",-73.956524,40.805295,10026
"293",1783,"MADISON AV","MN01334","POINT (-73.94692 40.79697)","E 111 ST",-73.94692,40.79697,10029
"294",1784,"6 AV","MN01335","POINT (-73.977812 40.763251)","W 55 ST",-73.977812,40.763251,10019
"295",1785,"E 79 ST","MN01336","POINT (-73.950711 40.771608)","YORK AV",-73.950711,40.771608,10075
"296",1786,"WEST END AV","MN01337","POINT (-73.988499 40.77455900000001)","W 64 ST",-73.988499,40.774559,10023
"297",1787,"E 105 ST","MN01338","POINT (-73.9403 40.788918)","1 AV",-73.9403,40.788918,10029
"298",1788,"2 AV","MN0134","POINT (-73.980313 40.73893)","E 25 ST",-73.980313,40.73893,10010
"299",1789,"W HOUSTON ST","MN01340","POINT (-74.002453 40.728033)","6 AV",-74.002453,40.728033,10012
"300",1790,"ALLEN ST","MN01342","POINT (-73.988837 40.721817)","STANTON ST",-73.988837,40.721817,10002
"301",1791,"AMSTERDAM AV","MN01343","POINT (-73.961733 40.805688)","W 114 ST",-73.961733,40.805688,10025
"302",1792,"HARRISON ST","MN01344","POINT (-74.011422 40.718835)","WEST ST",-74.011422,40.718835,10007
"303",1793,"ADAM CLAYTON POWELL BLVD","MN01345","POINT (-73.945447 40.813249)","W 132 ST",-73.945447,40.813249,10027
"304",1794,"E 106 ST","MN01347","POINT (-73.94042 40.78989)","1 AV",-73.94042,40.78989,10029
"305",1795,"W 57 ST","MN01348","POINT (-73.988228 40.76886)","10 AV",-73.988228,40.76886,10019
"306",1796,"FREDERICK DOUGLASS BLVD","MN01349","POINT (-73.941565 40.823113)","W 145 ST",-73.941565,40.823113,10039
"307",1797,"2 AV","MN0135","POINT (-73.981231 40.737645)","E 23 ST",-73.981231,40.737645,10010
"308",1798,"FREDERICK DOUGLASS BLVD","MN01350","POINT (-73.946251 40.81671)","W 135 ST",-73.946251,40.81671,10030
"309",1799,"FDR DR SRV RD","MN01351","POINT (-73.971497 40.743611)","E 35 ST",-73.971497,40.743611,10016
"310",1800,"BROADWAY","MN01353","POINT (-73.955505 40.81985)","W 135 ST",-73.955505,40.81985,10031
"311",1801,"BROADWAY","MN01354","POINT (-73.953966 40.821955)","W 138 ST",-73.953966,40.821955,10031
"312",1802,"ADAM CLAYTON POWELL BLVD","MN01355","POINT (-73.942649 40.817077)","W 138 ST",-73.942649,40.817077,10030
"313",1803,"AV C","MN01356","POINT (-73.979549 40.723293)","E 6 ST",-73.979549,40.723293,10009
"314",1804,"W 70 ST","MN01358","POINT (-73.986856 40.778951)","FREEDOM PL",-73.986856,40.778951,10023
"315",1805,"BROADWAY","MN01359","POINT (-73.954633 40.820395)","W 135 ST",-73.954633,40.820395,10031
"316",1806,"2 AV","MN0136","POINT (-73.982571 40.735804)","E 20 ST",-73.982571,40.735804,10003
"317",1807,"W 135 ST","MN01360","POINT (-73.9547 40.819824)","BROADWAY",-73.9547,40.819824,10031
"318",1808,"ALLEN ST","MN01361","POINT (-73.98906 40.72248)","E HOUSTON ST",-73.98906,40.72248,10002
"319",1809,"AV C","MN01364","POINT (-73.973862 40.730786)","FDR DR",-73.973862,40.730786,10009
"320",1810,"MADISON AV","MN01365","POINT (-73.952378 40.789474)","E 99 ST",-73.952378,40.789474,10029
"321",1811,"EAST BROADWAY","MN01366","POINT (-73.997449 40.713367)","CATHERINE ST",-73.997449,40.713367,10038
"322",1812,"E 79 ST","MN01368","POINT (-73.95526000000001 40.773528)","2 AV",-73.95526,40.773528,10075
"323",1813,"AMSTERDAM AV","MN01369","POINT (-73.93059 40.848328)","W 181 ST",-73.93059,40.848328,10033
"324",1814,"2 AV","MN0137","POINT (-73.985228 40.732147)","E 14 ST",-73.985228,40.732147,10003
"325",1815,"1 AV","MN01370","POINT (-73.986708 40.725451)","E 4 ST",-73.986708,40.725451,10009
"326",1816,"AMSTERDAM AV","MN01371","POINT (-73.956613 40.813137)","W 125 ST",-73.956613,40.813137,10027
"327",1817,"AMSTERDAM AV","MN01372","POINT (-73.957502 40.811422)","W 123 ST",-73.957502,40.811422,10027
"328",1818,"1 AV","MN01373","POINT (-73.956626 40.766726)","E 70 ST",-73.956626,40.766726,10021
"329",1819,"KING ST","MN01374","POINT (-74.007452 40.728001)","HUDSON ST",-74.007452,40.728001,10014
"330",1820,"LEXINGTON AV","MN01375","POINT (-73.939162 40.802143)","E 122 ST",-73.939162,40.802143,10035
"331",1821,"E 72 ST","MN01376","POINT (-73.960329 40.769524)","3 AV",-73.960329,40.769524,10021
"332",1822,"CHURCH ST","MN01377","POINT (-74.006268 40.716855)","WORTH ST",-74.006268,40.716855,10013
"333",1823,"MADISON ST","MN01378","POINT (-73.987285 40.712958)","CLINTON ST",-73.987285,40.712958,10002
"334",1824,"E 14 ST","MN0138","POINT (-73.984605 40.732085)","2 AV",-73.984605,40.732085,10003
"335",1825,"2 AV","MN0139","POINT (-73.987605 40.728881)","E 9 ST",-73.987605,40.728881,10003
"336",1826,"NORTH END AV","MN01396","POINT (-74.013934 40.717414)","CHAMBERS ST",-74.013934,40.717414,10282
"337",1827,"3 AV","MN0140","POINT (-73.987564 40.73301)","E 14 ST",-73.987564,40.73301,10003
"338",1828,"FT WASHINGTON AV","MN01408","POINT (-73.94211 40.842338)","W 168 ST",-73.94211,40.842338,10032
"339",1829,"W 155 ST","MN01426","POINT (-73.940768 40.830755)","EDGECOMBE AV",-73.940768,40.830755,10032
"340",1830,"EDGECOMBE AV","MN01428","POINT (-73.940479 40.830838)","W 155 ST",-73.940479,40.830838,10032
"341",1831,"BROADWAY","MN01429","POINT (-73.967919 40.802804)","W 108 ST",-73.967919,40.802804,10025
"342",1832,"AMSTERDAM AV","MN01430","POINT (-73.955909 40.813655)","W 125 ST",-73.955909,40.813655,10027
"343",1833,"E 80 ST","MN01434","POINT (-73.947816 40.771112)","EAST END AV",-73.947816,40.771112,10075
"344",1834,"YORK AV","MN01436","POINT (-73.947816 40.77482)","E 84 ST",-73.947816,40.77482,10028
"345",1835,"PIKE ST","MN01447","POINT (-73.992683 40.712727)","MADISON ST",-73.992683,40.712727,10002
"346",1836,"W 155 ST","MN01450","POINT (-73.94266 40.83155)","AMSTERDAM AV",-73.94266,40.83155,10032
"347",1837,"PIKE ST","MN01451","POINT (-73.992449 40.71425)","DIVISION ST",-73.992449,40.71425,10002
"348",1838,"3 AV","MN01455","POINT (-73.978582 40.744875)","E 33 ST",-73.978582,40.744875,10016
"349",1839,"BROADWAY","MN01462","POINT (-73.920057 40.867927)","ISHAM ST",-73.920057,40.867927,10034
"350",1840,"6 AV","MN01463","POINT (-73.980402 40.759722)","W 50 ST",-73.980402,40.759722,10020
"351",1841,"E 57 ST","MN01467","POINT (-73.972016 40.762035)","MADISON AV",-73.972016,40.762035,10022
"352",1842,"E 23 ST","MN0147","POINT (-73.982828 40.738584)","3 AV",-73.982828,40.738584,10010
"353",1843,"MADISON AV","MN01473","POINT (-73.982047 40.748857)","E 36 ST",-73.982047,40.748857,10016
"354",1844,"MALCOLM X BLVD","MN01477","POINT (-73.949295 40.802294)","W 116 ST",-73.949295,40.802294,10026
"355",1845,"ADAM CLAYTON POWELL BLVD","MN01478","POINT (-73.935974 40.825562)","W 151 ST",-73.935974,40.825562,10039
"356",1846,"6 AV","MN01481","POINT (-73.98086300000001 40.759092)","W 49 ST",-73.980863,40.759092,10020
"357",1847,"BATTERY PL","MN01482","POINT (-74.016103 40.704984)","WEST ST",-74.016103,40.704984,10004
"358",1848,"E 41 ST","MN01483","POINT (-73.969878 40.748054)","1 AV",-73.969878,40.748054,10016
"359",1849,"W 207 ST","MN01484","POINT (-73.918118 40.864012)","10 AV",-73.918118,40.864012,10034
"360",1850,"W 207 ST","MN01485","POINT (-73.918155 40.864032)","10 AV",-73.918155,40.864032,10034
"361",1851,"W 207 ST","MN01486","POINT (-73.918599 40.86444)","10 AV",-73.918599,40.86444,10034
"362",1852,"W 207 ST","MN01487","POINT (-73.918636 40.864464)","10 AV",-73.918636,40.864464,10034
"363",1853,"5 AV","MN01488","POINT (-73.939276 40.810666)","W 132 ST",-73.939276,40.810666,10037
"364",1854,"3 AV","MN01492","POINT (-73.986697 40.733681)","E 14 ST",-73.986697,40.733681,10003
"365",1855,"4 AV","MN01493","POINT (-73.989734 40.733818)","E 13 ST",-73.989734,40.733818,10003
"366",1856,"FT WASHINGTON AV","MN01494","POINT (-73.943718 40.838823)","W 164 ST",-73.943718,40.838823,10032
"367",1857,"5 Av","MN01495","POINT (-73.984089 40.749297)","W 35 St",-73.984089,40.749297,10018
"368",1858,"5 Av","MN01498","POINT (-73.982689 40.751218)","W 38 St",-73.982689,40.751218,10018
"369",1859,"5 Av","MN01499","POINT (-73.982477 40.751433)","W 39 St",-73.982477,40.751433,10018
"370",1860,"3 AV","MN0150","POINT (-73.980058 40.742831)","E 29 ST",-73.980058,40.742831,10016
"371",1861,"5 Av","MN01500","POINT (-73.982321 40.751723)","W 39 St",-73.982321,40.751723,10018
"372",1862,"5 Av","MN01503","POINT (-73.980251 40.754563)","W 44 St",-73.980251,40.754563,10036
"373",1863,"5 Av","MN01504","POINT (-73.978119 40.757474)","W 48 St",-73.978119,40.757474,10020
"374",1864,"5 Av","MN01506","POINT (-73.977636 40.75814200000001)","W 49 St",-73.977636,40.758142,10112
"375",1865,"5 Av","MN01512","POINT (-73.976579 40.759586)","W 52 St",-73.976579,40.759586,10019
